Layer,Name,GEOID,Population,CZA_2023,CZB_2023,CZD_2023,CZH_2023,CZL_2023,CZM_2023,CZO_2023,CZP_2023,CZR_2023,CZS_2023,CZT_2023,CZU_2012-2016,CZV_2023,SVI_2022,CAR_2018-2022,CHAOVXP_2018-2022,EKR_2022,EKW_2022,EVC_2018,EVF_2018,EVR_2018,HTJ_2018-2022,HUO_2018-2022,RBS_2018-2022,RBU_2018-2022,TRF_2020,TRV_2018-2022,VAC_2018-2022,CHAIXYP_2023,PMC_2020,FAI_2022,LFA_2019,WWW_2018-2022
,,,,"Aggravated assault/battery (crimes), 2023","Burglary (crimes), 2023","Drug abuse (crimes), 2023","Homicide (crimes), 2023","Larceny (theft) (crimes), 2023","Major crime (crimes), 2023","Arson (crimes), 2023","Property crime (crimes), 2023","Robbery (crimes), 2023","Criminal sexual assault (crimes), 2023","Motor vehicle theft (crimes), 2023","Public crime (crimes), 2012-2016","Violent crime (crimes), 2023","Social Vulnerability Index (percentile), 2022","Drive alone to work (% of workers 16 years and older), 2018-2022","Households (count of households), 2018-2022","Proximity to roads, railways, and airports index, 2022","Walkability Index, 2022","Evictions (evictions), 2018","Eviction filing rate (filings per 100 renter-occupied households), 2018","Eviction rate (% of renter-occupied households), 2018","Crowded housing (% of occupied housing units), 2018-2022","Owner occupied (% of occupied housing units), 2018-2022","Severely rent-burdened (% of renter-occupied housing units), 2018-2022","Rent-burdened (% of renter-occupied housing units), 2018-2022","Traffic intensity (distance-weighted vehicles), 2020","Mean travel time to work (minutes), 2018-2022","Vacant (% of housing units), 2018-2022","Chicago Environmental Justice Index (score), 2023","Particulate matter (PM 2.5) concentration (µg/m3), 2020","Food insecurity (% of residents), 2022","Low food access (% of residents), 2019","Internet access (% of households), 2018-2022"
Census tract,Tract 101,17031010100,4905,26.0,12.0,12.0,2.0,91.0,178.0,1.0,143.0,7.0,0.0,39.0,92.0,35.0,82.48,33.85885885885886,2322.0,37.0,12.83,15.0,4.29,0.8,1.9810508182601203,34.32385874246339,28.852459016393446,46.62295081967213,282.50315795470334,33.0,21.07409925220938,30.34,8.608972404,16.8,22.36,92.2049956933678
Census tract,Tract 102.01,17031010201,6939,29.0,14.0,4.0,0.0,97.0,196.0,0.0,158.0,6.0,3.0,47.0,80.0,38.0,91.21,50.74792243767313,3028.0,37.0,15.0,17.0,4.47,0.83,15.290620871862616,27.311756935270804,18.94593366651522,38.98228078146297,206.77472158813947,35.2,7.682926829268292,43.62,8.654188251,16.7,0.0,90.22457067371202
Census tract,Tract 102.02,17031010202,2742,28.0,12.0,22.0,1.0,300.0,390.0,0.0,332.0,24.0,5.0,20.0,63.0,58.0,93.97,47.340823970037455,1223.0,37.0,15.829999999999998,6.0,1.82,0.68,10.7113654946852,23.712183156173342,22.40085744908896,52.840300107181136,133.06153649819476,37.9,7.207890743550835,48.29,8.641408743,19.9,0.0,93.45870809484872
Census tract,Tract 103,17031010300,6305,30.0,5.0,4.0,0.0,132.0,232.0,1.0,186.0,10.0,6.0,48.0,29.0,46.0,79.13,46.3768115942029,3047.0,37.0,14.25,5.0,1.46,0.24,6.892024942566459,36.6918280275681,33.64437532400208,53.18818040435459,257.2054048028707,36.5,8.22289156626506,33.75,8.626913115,10.1,30.79,92.2874958976042
Census tract,Tract 104,17031010400,5079,10.0,4.0,3.0,0.0,142.0,207.0,0.0,181.0,12.0,4.0,35.0,21.0,26.0,33.1,35.91111111111111,2058.0,56.0,14.5,10.0,2.11,0.64,0.0,28.668610301263364,32.9700272479564,47.13896457765668,444.07620325310097,37.6,14.14267834793492,15.04,8.653578689,13.8,0.1,85.71428571428571
Census tract,Tract 105.01,17031010501,4206,11.0,8.0,2.0,0.0,78.0,129.0,1.0,111.0,5.0,2.0,24.0,14.0,18.0,54.93,37.51460849240358,2417.0,37.0,13.44,13.0,1.41,0.63,0.6206040546131568,15.721969383533304,21.502209131075112,44.23171330387825,370.4088821418925,36.6,9.441738478831024,23.39,8.652951366,16.1,0.0,90.4426975589574
Census tract,Tract 105.02,17031010502,3278,7.0,8.0,2.0,0.0,49.0,80.0,0.0,70.0,2.0,1.0,13.0,14.0,10.0,73.92999999999999,31.71677982541222,1582.0,56.0,14.33,7.0,0.89,0.57,9.5448798988622,25.72692793931732,27.659574468085108,53.78723404255319,347.2538367386211,35.7,13.599126160567996,20.48,8.675446448,16.2,0.0,88.81163084702908
Census tract,Tract 105.03,17031010503,2565,6.0,8.0,1.0,1.0,80.0,136.0,0.0,115.0,11.0,3.0,27.0,18.0,21.0,75.21,33.550792171481824,1315.0,78.0,16.08,1.0,0.92,0.11,2.737642585551331,14.52471482889734,31.494661921708182,47.33096085409253,337.4118345976608,33.2,9.869773817683344,37.93,8.691851639,26.1,0.0,83.34600760456273
Census tract,Tract 106,17031010600,6225,29.0,16.0,1.0,0.0,137.0,267.0,1.0,215.0,18.0,5.0,61.0,59.0,52.0,59.650000000000006,31.412103746397698,2943.0,58.00000000000001,14.5,5.0,1.44,0.22,2.854230377166157,37.98844716275909,20.6027397260274,52.49315068493152,89.14796553319519,38.5,7.248660573589663,21.24,8.67944071,10.2,0.0,92.5246347264696
Census tract,Tract 107.01,17031010701,3673,1.0,6.0,0.0,0.0,43.0,98.0,0.0,92.0,5.0,0.0,43.0,11.0,6.0,67.78,50.17905102954342,1603.0,37.0,12.83,8.0,2.79,1.02,8.60885839051778,52.65127885215222,24.24242424242424,57.18050065876152,275.6500229427988,30.2,8.347627215551743,37.8,8.687143169,8.7,0.0,98.68995633187772
Census tract,Tract 107.02,17031010702,4776,10.0,5.0,0.0,2.0,73.0,138.0,0.0,114.0,10.0,2.0,36.0,41.0,24.0,93.31,35.24663677130045,1915.0,37.0,15.13,9.0,1.87,0.56,11.592689295039165,21.2532637075718,23.0106100795756,51.06100795755968,153.78650680332913,35.0,10.430308699719363,42.98,8.676306831,16.8,0.0,92.42819843342036
Census tract,Tract 201,17031020100,4202,7.0,6.0,2.0,0.0,56.0,108.0,1.0,92.0,6.0,3.0,29.0,21.0,16.0,82.23,57.57575757575758,1679.0,37.0,13.92,15.0,3.09,1.78,5.24121500893389,34.54437164979154,20.74613284804368,52.32029117379435,367.1936462189672,33.2,2.21316249271986,38.18,8.672136885,15.4,0.0,94.34187016081
Census tract,Tract 202,17031020200,7128,9.0,5.0,0.0,0.0,59.0,122.0,1.0,102.0,9.0,2.0,37.0,16.0,20.0,58.96,63.27568667344863,1989.0,37.0,16.17,7.0,3.83,1.49,4.927099044746104,77.22473604826547,15.89403973509934,36.64459161147903,120.82255795305836,31.5,8.677685950413224,33.12,8.697636885,8.7,4.27,100.0
Census tract,Tract 203.01,17031020301,5261,3.0,13.0,1.0,0.0,42.0,89.0,0.0,81.0,5.0,0.0,26.0,4.0,8.0,80.49,62.83309957924264,2215.0,49.0,14.11,3.0,0.88,0.53,1.0835214446952597,70.56433408577878,28.98773006134969,41.71779141104295,140.24938615938984,42.9,1.4241210502892745,40.83,8.757525956,14.3,39.21,84.96613995485328
Census tract,Tract 203.02,17031020302,5010,8.0,12.0,1.0,1.0,64.0,140.0,0.0,116.0,14.0,1.0,40.0,16.0,24.0,66.41,56.425077812361046,1736.0,26.0,14.72,2.0,2.18,0.29,0.0576036866359447,62.84562211981567,9.767441860465116,47.44186046511628,171.4921345104511,34.4,5.084745762711865,20.61,8.725568306,12.1,35.76,89.8041474654378
Census tract,Tract 204,17031020400,4435,12.0,8.0,1.0,0.0,54.0,123.0,0.0,101.0,7.0,3.0,39.0,22.0,22.0,85.6,55.713630105553,1669.0,37.0,13.5,6.0,1.6,0.8,4.853205512282805,46.55482324745356,26.345291479820627,52.242152466367706,268.5359579795265,30.5,11.458885941644564,35.78,8.707949727,13.2,19.63,91.13241461953264
Census tract,Tract 205,17031020500,6599,29.0,11.0,7.0,1.0,93.0,176.0,1.0,134.0,11.0,1.0,29.0,34.0,42.0,97.63,46.40397857689365,2221.0,76.0,14.96,11.0,2.19,0.71,13.0121566861774,27.375056280954524,29.38623682579045,48.171109733416,217.1546211692984,32.4,10.803212851405622,64.1,8.741630601,20.8,0.61,86.89779378658262
Census tract,Tract 206.01,17031020601,6699,13.0,12.0,2.0,0.0,55.0,119.0,0.0,99.0,7.0,0.0,32.0,42.0,20.0,93.76,50.96827358879275,2058.0,32.0,15.11,5.0,1.1300000000000001,0.47,4.616132167152575,53.93586005830904,29.324894514767934,44.09282700421941,131.87866823048813,32.5,9.379128137384413,36.54,8.777037705,17.9,5.28,90.37900874635568
Census tract,Tract 206.02,17031020602,4662,12.0,9.0,4.0,0.0,53.0,111.0,0.0,89.0,9.0,1.0,27.0,26.0,22.0,68.23,66.49855907780979,1602.0,66.0,13.38,0.0,0.51,0.0,10.049937578027466,53.37078651685393,19.27710843373494,44.84605087014726,244.9104815573788,29.2,7.983917288914418,27.69,8.757116393,10.6,20.24,93.1960049937578
